filename,snr,gaussian,spacings,nu_max,error nu_max,delta nu,error delta nu,mass guess,mass error,radius guess,radius error,spectrum_base,actual_nu_max,actual_delta_nu,actual_mass,actual_radius
spectrum_0_cams24_vmag7.32.pow,TRUE,TRUE,TRUE,3434.389344,8.313060464,143.984127,3.665721723,0.928261444,0.054289857,0.932676224,0.016637038,spectrum_0,3485.857771,144.5581783,1.041,0.968780447
spectrum_0_cams24_vmag8.68.pow,TRUE,TRUE,TRUE,3444.855118,9.120942161,140.2222222,7.218784848,1.041419487,0.060819808,0.986388234,0.017571184,spectrum_0,3485.857771,144.5581783,1.041,0.968780447
spectrum_0_cams24_vmag9.44.pow,MAYBE,TRUE,TRUE,3475.069073,9.444199913,150.4603175,40.432091,0.80645962,0.046841051,0.86423153,0.015280272,spectrum_0,3485.857771,144.5581783,1.041,0.968780447
spectrum_0_cams24_vmag10.10.pow,FALSE,TRUE,TRUE,3407.827854,15.1201834,149.2857143,70.83130496,0.784765932,0.046082904,0.860898122,0.015423566,spectrum_0,3485.857771,144.5581783,1.041,0.968780447
spectrum_0_cams24_vmag10.31.pow,FALSE,TRUE,TRUE,3441.028865,31.55654016,148.4126984,40.10604164,0.827105483,0.048308819,0.879542452,0.015657878,spectrum_0,3485.857771,144.5581783,1.041,0.968780447
spectrum_0_cams24_vmag10.35.pow,FALSE,TRUE,FALSE,3242.801333,22.99325879,,,,,,,spectrum_0,3485.857771,144.5581783,1.041,0.968780447
spectrum_1_cams24_vmag7.91.pow,TRUE,TRUE,TRUE,3126.079242,10.08347252,139.8730159,35.13419578,0.836043551,0.051653855,0.91827104,0.017483895,spectrum_1,3135.520635,134.462038,1.092,1.033026159
spectrum_1_cams24_vmag9.10.pow,TRUE,TRUE,TRUE,3125.925713,6.937167591,134.2857143,5.791475396,0.983968994,0.060817159,0.996225856,0.018986978,spectrum_1,3135.520635,134.462038,1.092,1.033026159
spectrum_1_cams24_vmag9.15.pow,TRUE,TRUE,TRUE,3067.206638,7.648042592,134.3333333,5.747286152,0.928236518,0.058036774,0.976819309,0.018868688,spectrum_1,3135.520635,134.462038,1.092,1.033026159
spectrum_1_cams24_vmag9.24.pow,TRUE,TRUE,TRUE,3152.905028,8.325658806,132.7142857,14.19291494,1.058343582,0.065084569,1.028760603,0.01949477,spectrum_1,3135.520635,134.462038,1.092,1.033026159
spectrum_1_cams24_vmag10.02.pow,FALSE,TRUE,TRUE,3090.217027,14.37872625,138.6349206,5.652820119,0.836837436,0.052069586,0.924022376,0.017741255,spectrum_1,3135.520635,134.462038,1.092,1.033026159
spectrum_2_cams24_vmag7.63.pow,TRUE,TRUE,TRUE,3811.454494,10.85410112,157.7777778,37.25646494,0.954372969,0.052764242,0.885644372,0.014741101,spectrum_2,3835.391162,156.5115136,0.985,0.902024046
spectrum_2_cams24_vmag7.92.pow,TRUE,TRUE,TRUE,3750.901123,9.684167415,157.5079365,54.01762797,0.915854183,0.05105122,0.87456286,0.014703646,spectrum_2,3835.391162,156.5115136,0.985,0.902024046
spectrum_2_cams24_vmag8.83.pow,TRUE,TRUE,TRUE,3750.106053,16.47139601,163.5238095,66.58423945,0.787836174,0.04390691,0.811225989,0.013629368,spectrum_2,3835.391162,156.5115136,0.985,0.902024046
spectrum_2_cams24_vmag9.47.pow,FALSE,TRUE,TRUE,3910.966159,19.90454103,160.7619048,41.98476216,0.956640701,0.052203769,0.87534261,0.014334164,spectrum_2,3835.391162,156.5115136,0.985,0.902024046
spectrum_2_cams24_vmag9.68.pow,FALSE,TRUE,TRUE,3774.878101,24.39152603,159.7777778,45.09163502,0.881601951,0.048975763,0.855323642,0.014318187,spectrum_2,3835.391162,156.5115136,0.985,0.902024046
spectrum_2_cams24_vmag10.04.pow,FALSE,TRUE,TRUE,3726.901033,24.96220914,160.5714286,60.69294055,0.831763291,0.046510517,0.836125783,0.014108358,spectrum_2,3835.391162,156.5115136,0.985,0.902024046
spectrum_3_cams24_vmag8.56.pow,TRUE,TRUE,TRUE,3249.652744,9.213933004,136.6984127,5.432699609,1.032027318,0.062324408,1.000242485,0.018546884,spectrum_3,3290.861942,138.4759075,1.062,1.003603711
spectrum_3_cams24_vmag8.62.pow,TRUE,TRUE,TRUE,3265.282497,9.469756538,145.4920635,62.15528583,0.815904414,0.049107831,0.887232494,0.016373117,spectrum_3,3290.861942,138.4759075,1.062,1.003603711
